timestamp,session_id,total_games,games_won,games_lost,win_rate_percent,max_score,max_tile,total_moves,avg_moves_per_game,avg_ai_latency,avg_game_time,total_ai_suggestions,games_2,games_8,games_32,games_128,games_512,games_1024,games_2048,command_args
2025-09-03 00:34:13,20250903_003413_batch128,5,5,0,100.0,20960,2048,4810,962.0,0.072,69.41,4810,0,0,0,0,0,0,5,"batch=128, games_in_batch=5"
2025-09-03 00:35:30,20250903_003530_batch129,5,5,0,100.0,21248,2048,4878,975.6,0.072,70.14,4878,0,0,0,0,0,0,5,"batch=129, games_in_batch=5"
2025-09-03 00:36:44,20250903_003644_batch130,5,5,0,100.0,21076,2048,4861,972.2,0.071,69.3,4861,0,0,0,0,0,0,5,"batch=130, games_in_batch=5"
2025-09-03 00:37:55,20250903_003755_batch131,5,5,0,100.0,22684,2048,5022,1004.4,0.066,65.92,5022,0,0,0,0,0,0,5,"batch=131, games_in_batch=5"
2025-09-03 00:39:10,20250903_003910_batch132,5,5,0,100.0,20928,2048,4809,961.8,0.071,68.08,4809,0,0,0,0,0,0,5,"batch=132, games_in_batch=5"
2025-09-03 00:40:20,20250903_004020_batch133,5,5,0,100.0,20200,2048,4724,944.8,0.069,65.06,4724,0,0,0,0,0,0,5,"batch=133, games_in_batch=5"
2025-09-03 00:41:36,20250903_004136_batch134,5,5,0,100.0,20900,2048,4861,972.2,0.071,68.74,4861,0,0,0,0,0,0,5,"batch=134, games_in_batch=5"
2025-09-03 00:42:45,20250903_004245_batch135,5,5,0,100.0,20732,2048,4841,968.2,0.068,65.5,4841,0,0,0,0,0,0,5,"batch=135, games_in_batch=5"
2025-09-03 00:43:55,20250903_004355_batch136,5,5,0,100.0,21112,2048,4927,985.4,0.067,66.21,4927,0,0,0,0,0,0,5,"batch=136, games_in_batch=5"
2025-09-03 00:45:07,20250903_004507_batch137,5,4,1,80.0,20708,2048,4657,931.4,0.07,65.6,4657,0,0,0,0,0,1,4,"batch=137, games_in_batch=5"
2025-09-03 00:46:20,20250903_004620_batch138,5,5,0,100.0,21036,2048,4818,963.6,0.073,70.0,4818,0,0,0,0,0,0,5,"batch=138, games_in_batch=5"
2025-09-03 00:47:34,20250903_004734_batch139,5,5,0,100.0,20584,2048,4757,951.4,0.073,69.0,4757,0,0,0,0,0,0,5,"batch=139, games_in_batch=5"
2025-09-03 00:48:45,20250903_004845_batch140,5,5,0,100.0,20280,2048,4737,947.4,0.068,64.8,4737,0,0,0,0,0,0,5,"batch=140, games_in_batch=5"
2025-09-03 00:49:56,20250903_004956_batch141,5,5,0,100.0,20224,2048,4714,942.8,0.07,66.11,4714,0,0,0,0,0,0,5,"batch=141, games_in_batch=5"
